Year,Gen#,SL,Wt ,Mark,Finclip,Type,Scale,Date,Nest ,Site,Study,Notes
S18-,131,83.8,13.16,Lr1r5,yes,NM,yes,18-05-21,OSL X,left,Mem Assay #14,
S18-,132,55,3.04,Lr3r4,yes,sn,yes,18-05-21,OSL X,left,Mem Assay #15,
S18-,133,78.1,9.47,Lr1r6,yes,NM,yes,18-05-21,OSL Y,left,Std Assay #115,
S18-,134,62.1,4.62,Rpu1pu5,yes,sat,yes,18-05-21,OSL Y,left,Std Assay #116,
S18-,135,48,2.13,Lr3r5,yes,sn,yes,18-05-21,OSL Y,left,Std Assay #117,released 17:55
S18-,136,50.9,2.5,Lp1p6,yes,fem,yes,18-05-21,OSL Y,left,Std Assay #118,released 17:55
S18-,137,47.9,2.19,Lp2,no,fem,no,18-05-21,,left,Std Assay #119,
S18-,138,59.8,3.57,Lr3r6,yes,sn,yes,18-05-21,OSL X,left,Std Assay #120,
S18-,139,63.3,5.03,Rpu1pu6,yes,sat,yes,18-05-22,OSL V,left,Mem Assay #16,
S18-,140,79.8,12.09,Lr2r3,yes,NM,yes,18-05-22,OSL V,left,Mem Assay #17,
S18-,141,49.2,3.03,Lp2p3,yes,fem,yes,18-05-22,OSL V,left,Mem Assay #18,
S18-,142,50.5,2.59,Lr4r5,yes,sn,yes,18-05-22,OSL V,left,Mem Assay #19,
S18-,143,78.9,10.2,Lr2r4,yes,NM,yes,18-05-22,OSL W,left,Std Assay #121,
S18-,144,63.2,4.88,Rpu2pu3,yes,sat,yes,18-05-22,OSL W,left,Std Assay #122,
S18-,145,47.2,2.19,Lp2p4,yes,fem ,yes,18-05-22,OSL W,left,Std Assay #123,injured?
S18-,146,42.9,1.53,Lr4r6,yes,sn,yes,18-05-22,OSL W,left,Std Assay #124,out of order
S18-,147,73.2,8.86,Lr2r4,yes,NM,yes,18-05-22,OSR,right,,caught afternoon dive Jenn + Kelly
S18-,148,80.3,12.85,Lr2r5,yes,NM,yes,18-05-22,OSR,right,,
S18-,149,77,9.63,Lr2r6,yes,NM,yes,18-05-22,OSR,right,,
S18-,150,79.8,11.71,Lr3r4,yes,NM,yes,18-05-22,OSR,right,,
S18-,151,60.1,4.98,Rpu2pu4,yes,sat,yes,18-05-22,OSR,right,,caught by Kelly +Jenn pm dive
S18-,152,55.2,2.9,Rpu2pu5,yes,sat,yes,18-05-22,OSR,right,,caught by Kelly +Jenn pm dive
S18-,153,57.8,3.86,Rpu2pu6,yes,sat,yes,18-05-22,OSR,right,,caught by Kelly +Jenn pm dive
S18-,154,54.1,3.34,Rpu3pu4,yes,sat,yes,18-05-22,OSR,right,,caught by Kelly +Jenn pm dive
S18-,155,76.9,9.44,Lr3r5,yes,NM,yes,18-05-22,OSR,right,,caught by Kelly +Jenn pm dive
S18-,156,76.8,10.35,Lr3r6,yes,NM,yes,18-05-22,OSR,right,,caught by Kelly +Jenn pm dive
S18-,157,81.3,11.08,Lr4r5,yes,NM,yes,18-05-22,OSR,right,,caught by Kelly +Jenn pm dive
S18-,158,76.2,11.2,Lr4r6,yes,NM,yes,18-05-22,OSR,right,,caught by Kelly +Jenn pm dive
S18-,159,62.6,4.86,Rpu3pu5,yes,sat,yes,18-05-22,OSR,right,,caught by Kelly +Jenn pm dive; Rbrb5 old mark 2017 sneaker
S18-,160,72.5,8.78,Rr1r2,yes,NM,yes,18-05-22,OSR,right,,caught by Kelly +Jenn pm dive; old mark Lp2p5 2017 sat? added new marks
S18-,161,56.3,3.5,Rpu3pu6,yes,sat,yes,18-05-22,OSR,right,,caught by Kelly +Jenn pm dive
S18-,162,61.4,4.98,Rpu4pu5,yes,sat,yes,18-05-22,OSR,right,,caught by Kelly +Jenn pm dive
S18-,163,51.2,2.76,Lr5r6,yes,sn,yes,18-05-22,OSL W,left,Std Assay #125,
S18-,164,76.5,9.55,Rr1r3,yes,NM,yes,18-05-23,45 replace,main,,came in after removed assay guys
S18-,165,54.8,3.32,Rpu4pu6,yes,sat,yes,18-05-23,45 replace,main,,came in after removed assay guys
S18-,166,66.5,5.5,Rpu5pu6,yes,sat,yes,18-05-23,OSL U,left,Std Assay #126,Mem Assay #24
S18-,167,64,5.05,Rr1r2,yes,sn,yes,18-05-23,OSL U,left,Std Assay #127,
S18-,168,43.9,1.77,Rr1r3,yes,sn,yes,18-05-23,OSL U,left,Mem Assay #21,
S18-,169,50.2,2.38,Rp2,no,fem,no,18-05-23,OSL U,left,Mem Assay #22,into shoal
S18-,170,45.8,1.82,none,no,fem ,no,18-05-23,OSL U,left,Std Assay #128,
S18-,171,80.8,12.07,Rr1r4,yes,NM,yes,18-05-23,OSL U,left,Std Assay #129,
S18-,172,45.2,1.9,Rr1r4,yes,sn,yes,18-05-23,45,main,Std Assay #130,
S18-,173,52.6,3.02,Rr1r5,yes,sn,yes,18-05-23,45,main,Std Assay #131,
S18-,174,48.3,2.17,Rr1r6,yes,sn,yes,18-05-25,OSL J,left,Mem Assay #25,
S18-,175,41.5,1.7,Lp2p5,yes,fem,yes,18-05-25,OSL J,left,Mem Assay #26,
S18-,176,78.5,9.56,Rr1r4,yes,NM,yes,18-05-25,OSL J,left,Mem Assay #27,
S18-,177,47.5,1.93,Rr2r3,yes,sn,yes,18-05-25,OSL J,left,Std Assay#132,
S18-,178,54.9,3.51,Lw1w2,yes,sat,yes,18-05-25,51,main,,
S18-,179,56.7,3.39,Lw1w3,yes,sat,yes,18-05-25,OSL J,left,,2nd sat
S18-,180,43.5,1.76,Rr2r4,yes,sn,yes,18-05-26,OSL S,left,Mem Assay #28,held for squeezing
S18-,181,79.4,10.16,Rr1r5,yes,NM,yes,18-05-26,OSL S,left,Mem Assay #30,held for squeezing
S18-,182,48.2,2.28,Lp2p6,yes,fem,yes,18-05-26,OSL S,left,Mem Assay #31,released 1700
S18-,183,47.1,2.31,Lp3p4,yes,fem,yes,18-05-26,OSL S,left,Std Assay #134,released 1700
S18-,184,53.8,3.58,Lp3p5,yes,fem ,yes,18-05-26,OSL ,left,,used for sample eggs
S18-,185,46.5,2.12,Lp3p6,yes,fem,yes,18-05-26,OSL,left,,used for sample eggs
S18-,186,45.3,1.98,Lp4p5,yes,fem,yes,18-05-26,OSL,left,,used for sample eggs
S18-,187,58,NA,Rw5w6,no,sat,no,18-05-26,51,main,,replacement sat mashed underwater
S18-,188,84.2,13.44,Rr1r6,yes,NM,yes,18-05-27,OSL K,left,Std Assay #135,released 18:17
S18-,189,47.8,2.02,Rr2r5,yes,sn,yes,18-05-27,OSL K,left,Std Assay #136,released 18:17
S18-,190,52.3,3.1,Lp4p6,yes,fem,yes,18-05-27,OSL K,left,Std Assay #137,released 18:42
S18-,191,75.5,11.03,Rr2r3,yes,NM,yes,18-05-28,OSR,right,,
S18-,192,47.2,2.26,Lp5p6,yes,fem,yes,18-05-28,OSR,right,,eggs sample #A lots
S18-,193,48.9,2.53,Rp1p2,yes,fem,yes,18-05-28,OSR,right,,""""" B some"
S18-,194,59.5,4.3,Rp1p3,yes,fem,yes,18-05-28,OSR,right,,""""" C lots"
S18-,195,59.5,4.65,Rp1p4,yes,fem,yes,18-05-28,OSR,right,,""""" D lots"
S18-,196,45.9,2,Rp1p5,yes,fem,yes,18-05-28,OSR,right,,no eggs
S18-,197,61.9,4.52,Lw1w4,yes,sat,yes,18-05-28,47,main,Mem Assay #32,released 15:52
S18-,198,47.1,2.11,Rr2r6,yes,sn,yes,18-05-28,47,main,Mem Assay #34,released 15:56
S18-,199,51.7,2.87,Rp1p6,yes,fem,yes,18-05-28,47,main,Mem Assay #35,
S18-,200,46,2.92,Rp2p3,yes,fem,yes,18-05-28,47,main,Std Assay #139,released 16:43
S18-,201,47.4,2.14,Rr3r4,yes,sn,yes,18-05-28,47,main,Std Assay #140,""""""
S18-,202,56,NA,Rw1w2,no,sat,no,18-05-28,43,main,,"UW mark, no clip, new sat at 43"
S18-,203,61.3,4.94,Rp2p4,yes,fem,yes,18-05-29,48,main,,
S18-,204,44.1,1.91,Rp2p5,yes,fem,yes,18-05-29,48,main,,
S18-,205,77,NA,Rr2r4,no,NM,no,18-05-31,OSL W,left,Std Assay #149 ,Lost 4 mark
S18-,206,88,NA,Rr2r5,no,NM,no,18-05-31,,,,Lost 5 mark
S18-,207,50.9,2.55,Rp2p6,yes,fem,yes,18-05-29,48,main,Mem Assay #36,
S18-,208,47.4,2.36,Rr3r5,yes,sn,yes,18-05-29,48,main,Mem Assay #37,
S18-,209,47.3,1.98,Rr3r6,yes,sn,yes,18-05-29,48,main,Std Assay #142,
S18-,210,49,2.57,Rp2,no,fem,no,18-05-30,70,main,Mem Assay#41,into shoal tank
S18-,211,42.4,1.64,Rr4r5,yes,sn,yes,18-05-30,70,main,Mem Assay #42,
S18-,212,57.6,3.7,Rw1w3,yes,sat,yes,18-05-30,70,main,Mem Assay #43,
S18-,213,72.1,9.25,Rr2r6,yes,NM,yes,18-05-30,56,main,Std Assay #143,
S18-,214,60.4,4.17,Rw1w4,yes,sat,yes,18-05-30,56,main,Std Assay #144,
S18-,215,47.7,2.06,Rp2p6,yes,sn,yes,18-05-30,56,main,Std Assay #145,Rr4r6
S18-,216,49.1,2.23,Rp2p6,yes,fem,yes,18-05-30,56,main,Std Assay #146,
S18-,217,57.5,4,Rw1w5Lr1,yes,sat,yes,18-05-30,66,main,,
S18-,218,65.8,5.79,Rp3p4,no,fem,no,18-05-31,56,main,,"egg sample A,B,E,F"
S18-,219,59.5,4.42,Rp3p5,no,fem,no,18-06-01,56,main,,"egg sample C,D"
S18-,220,49.2,2.19,Rp3p6,yes,fem,yes,18-05-30,56,main,,"for shoal, no eggs"
S18-,221,56,NA,Rw4w6,no,Sat,no,18-05-31,72,main,,
S18-,222,51.7,3.01,Rr5r6,yes,sn,yes,18-05-31,OSL L,left,Mem Assay #44,
S18-,223,78.2,10.09,Rr2r3,yes,NM,yes,18-05-31,OSL L,left,Mem Assay #45,
S18-,224,50,2.55,Rpu4pu5,yes ,fem,yes ,18-05-31,OSL L,left,Mem Assay #46,
S18-,225,54.8,3.3,Lp1,no,fem,no,18-05-31,OSL W,left,Std Assay #147,Into shoal
S18-,226,47.5,2.16,Lo1o2,yes ,sn,yes ,18-05-31,OSL W,left,Std Assay #148,Released 17:10
S18-,227,62.9,5.12,Lw1w5,yes ,Sat,yes ,18-05-31,OSL W,left,Std Assay #150,Released 19:18
S18-,228,48.5,2.28,Lp4p6,yes ,fem,yes ,18-05-31,OSL W,left,,"Egg samples G,H,I,J"
S18-,229,51.5,2.32,Rp4p6,yes ,fem,yes ,18-06-01,65,main,Mem Assay #49,
S18-,230,45.9,1.93,Lo1o3,yes ,sn,yes ,18-06-01,65,main,Mem Assay #52,
S18-,231,48.5,2.34,Lp2,no,fem,no,18-06-01,65,main,Std Assay #152,
S18-,232,47.4,2.32,Lo1o3,yes ,sn,yes ,18-06-01,65,main,Std Assay #153,
S18-,233,67.2,5.88,Lw1w6,yes ,Sat,yes ,18-06-01,65,main,Std Assay #154,
S18-,234,74,NA,Rr3r4,yes,NM,no,18-06-02,71,main,Removals,Underwater mark
S18-,235,63.1,5.17,Rg3p3g?,yes,Sat,yes,18-06-02,G,right,,Either #075 or #079
S18-,236,78.2,9.1,Rr3r5,yes,NM,yes,18-06-03,OSR N,right,Mem Assay #56,
S18-,237,55.8,3.53,Lo1o4,yes,sn,yes,18-06-03,OSR N,right,Mem Assay #57,
S18-,238,70.2,6.46,Lw2w3,yes,Sat,yes,18-06-03,OSR N,right,Mem Assay #58,
S18-,239,51.1,3.06,Rp5p6,yes,fem,yes,18-06-03,OSR N,right,Mem Assay #59,
S18-,240,52.3,2.55,Lo1o5,yes,sn,yes,18-06-03,74,main,Std Assay #155,
S18-,241,48.2,2.71,Lp2,no,fem,no,18-06-03,OSR N,right,Std Assay #156,Shoal tank
S18-,242,50.6,2.65,Lo1o6,yes,sn,yes,18-06-04,73,main,Mem Assay #62,"11KT injection, 13ul, dorsal"
S18-,243,48.3,2.13,Lp2,no,fem,no,18-06-04,73,main,Mem Assay #63,Shoal tank
S18-,244,49.9,2.39,Rp2,no,fem,no,18-06-04,OSR,right,Mem Assay #64,Shoal tank
S18-,245,78,NA,Lb4b5,yes,NM,no,18-06-04,OSL AA,left,Removals,Underwater mark
S18-,246,75.5,NA,Rb4b5,yes,NM,yes,18-06-04,OSL I,left,Mem Assay #84,Underwater mark
S18-,247,56.2,3.43,Rp4p6,yes,fem,yes,18-06-04,OSR,right,Eggs,"Darkest- eggs A,B"
S18-,248,54.3,3.27,Rp5p6,yes,fem,yes,18-06-04,OSR,right,Eggs,"Medium- eggs C,D"
S18-,249,58.8,3.84,Rp4p5p6,yes,fem,yes,18-06-04,OSR,right,Eggs,"Lightest- eggs E,F"
S18-,250,61.2,4.89,Lb1b2,yes,fem,yes,18-06-05,OSR O,right,Mem Assay #65,Coconut oil test
S18-,251,52.1,2.79,Lo2o3,yes,sn,yes,18-06-05,OSR O,right,Mem Assay #67,
S18-,252,62.8,4.53,Lw2w4,yes,Sat,yes,18-06-05,OSR O,right,Mem Assay #68,
S18-,253,62.7,4.91,Lw2w5,yes,Sat,yes,18-06-05,OSL,left,,
S18-,254,64.1,5.78,Lb1b5,yes,Sat,yes,18-06-05,OSL P,left,,Caught as sneaker last year at Biblio!
S18-,255,49.7,2.33,Rp2,no,fem,no,18-06-06,OSL R,left,Mem Assay #70,Shoal tank
S18-,256,45.9,2.07,Lo2o4,yes,sn,yes,18-06-06,OSL R,left,Mem Assay #71,
S18-,257,71.1,7,Lw2w6,yes,Sat,yes,18-06-06,OSL R,left,Mem Assay #72,
S18-,258,43.2,NA,NA,yes,fem,no,18-06-06,OSL R,left,"Female eggs D,E,F",
S18-,259,48.2,NA,NA,yes,fem,no,18-06-06,OSL R,left,"Female eggs A,B,C",
S18-,260,76,10.36,Rb4b6,yes,NM,yes,18-06-07,25,main,Std Assay #159,
S18-,261,80.4,10.21,Rb5b6,yes,NM,yes,18-06-07,78,main,Std Assay #160,
S18-,262,61.3,4.99,Lw3w4,yes,Sat,yes,18-06-07,25,main,Std Assay #161,
S18-,263,47.7,2.24,Lp2,no,fem,no,18-06-07,25,main,Std Assay #162,
S18-,264,68.5,6.62,Lb1b3,yes,fem,yes,18-06-07,25,main,Std Assay #163,
S18-,265,54.8,3.36,Lw3w5,yes,Sat,yes,18-06-07,83,main,Std Assay #164,
S18-,266,75,NA,Lpu4pu5,no,NM,no,18-06-07,OSL I,left,Removals,
S18-,267,83,NA,Lpu4pu6,no,NM,no,18-06-07,OSL AA,left,Removals,
S18-,268,48,2.24,Lo2o5,yes,sn,yes,18-06-08,25,main,Mem Assay #74,
S18-,269,63.9,5.63,Lb1b4,yes,fem,yes,18-06-08,25,main,Mem Assay #75,
S18-,270,78.9,10.99,Lb4b6,yes,NM,yes,18-06-08,25,main,Mem Assay #77,
S18-,271,53.8,NA,NA,yes,fem,yes,18-06-09,78,main,"Egg June 9- A,B",
S18-,272,40.1,1.34,Lo2o6,yes,sn,yes,18-06-09,78,main,Mem Assay #79,
S18-,273,46.2,2.01,Lo3o4,yes,sn,yes,18-06-09,78,main,Mem Assay #80,
S18-,274,59.6,3.88,Ly1,no,sn,no,18-06-09,,main,,"11KT injection, 18ul, dorsal"
S18-,275,49.7,2.21,Ly2,no,sn,no,18-06-09,,main,,"11KT injection, 11ul, IP"
